"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
20,0.01,0.01,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.06,0.01,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.33,0,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.6,0.02,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.86,0,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.98,0,0,1993,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.1,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.35,0.01,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.63,0.01,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.94,0.01,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1994,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0.01,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.11,0.01,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.34,0.03,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.62,0.01,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.93,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1995,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.02,0.01,0.01,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.19,0,0.01,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.36,0.02,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.74,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.93,0.01,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,1996,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0.01,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.15,0.02,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.39,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.66,0.01,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.96,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,1997,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0.01,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.19,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.39,0.02,0.01,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.69,0.03,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.95,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,1998,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0.01,0.01,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.16,0.02,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.45,0.04,0.01,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.72,0.01,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.96,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,1999,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2000,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2000,1.19142540291642,0.64069328125,0.0588235294117647,1.09088020416342,0.519484724694901,0.0264225418475851,0.0698840615057702,0.640366764485484,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
