"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
2,0,0,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
5,0,0,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
10,0,0,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
20,0.01,0,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
50,0.16,0,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
100,0.35,0.01,0,1990,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
2,0.01,0.01,0,1990,1.21019769163717,0.945322890625,0.0588235294117647,1.04020721323629,0.454122341539645,0.0275349998531317,0.0709738140514413,0.656614275499268,3.67999999999999e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
5,0.01,0.01,0,1990,1.21019769163717,0.945322890625,0.0588235294117647,1.04020721323629,0.454122341539645,0.0275349998531317,0.0709738140514413,0.656614275499268,3.67999999999999e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
10,0.03,0.01,0.01,1990,1.21019769163717,0.945322890625,0.0588235294117647,1.04020721323629,0.454122341539645,0.0275349998531317,0.0709738140514413,0.656614275499268,3.67999999999999e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
20,0.03,0.01,0,1990,1.21019769163717,0.945322890625,0.0588235294117647,1.04020721323629,0.454122341539645,0.0275349998531317,0.0709738140514413,0.656614275499268,3.67999999999999e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,100,1461,1492
